;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/reagent_condenser;Condenses hydro-fluorines into reagent liquid;;;;Kondensiert Hydrofluorine zu Reagenzflüssigkeit;;;将氢氟化合物冷凝成试剂;;
gui/hud/building_description/reagent_refinery;produces reagent for chemical processing;;;;Produziert Reagenz für die chemische Verarbeitung;;;生产用于化学加工的试剂;;
gui/hud/building_description/reagent_refinery_lvl_2;produces reagent for chemical processing;;;;Produziert Reagenz für die chemische Verarbeitung;;;生产用于化学加工的试剂;;
gui/hud/building_description/reagent_refinery_lvl_3;produces reagent for chemical processing;;;;Produziert Reagenz für die chemische Verarbeitung;;;生产用于化学加工的试剂;;
gui/hud/building_description/regenerating_extractor;Extracts resources from surface deposits via special mycelia and use of resin. This is much slower but long term sustainable extraction that does not deplete the deposit.;;;;Gewinnt Ressourcen aus Oberflächenvorkommen mittels spezieller Myzelien und unter Verwendung von Harz. Dies ist ein wesentlich langsamerer, aber langfristig nachhaltiger Abbau, der die Lagerstätte nicht erschöpft.;;;通过特殊菌丝体和树脂的使用，从地表矿床中提取资源。这种提取方式慢得多，但可持续长期进行，不会耗尽矿床。;;
gui/hud/building_description/repair_central;Repair Central;;;;Reparaturzentrale;;;维修中心;;
gui/hud/building_description/resin_factory;Synthetic production of resin. Requires deuterium as a key ingredient for cold fusion powered resin.;;;;Synthetische Herstellung von Harz. Benötigt Deuterium als Schlüsselbestandteil für durch Kaltfusion angetriebenes Harz.;;;人工合成树脂。该过程需要氘作为关键原料，以通过冷聚变动力来生产树脂。;;
gui/hud/building_description/resource_converter_cobalt;Uses morphium to convert iron into cobalt;;;;Verwendet Morphium, um Eisen in Kobalt umzuwandeln;;;使用形变液将铁转化为钴;;
gui/hud/building_description/resource_converter_palladium;Uses morphium to convert cobalt into palladium;;;;Verwendet Morphium, um Kobalt in Palladium umzuwandeln;;;使用形变液将钴转化为钯;;
gui/hud/building_description/resource_converter_titanium;Uses morphium to convert cobalt into titanium;;;;Verwendet Morphium, um Kobalt in Titan umzuwandeln;;;使用形变液将钴转化为钛;;
gui/hud/building_description/resource_converter_uranium;Uses morphium to convert depleted uranium into enriched uranium;;;;Verwendet Morphium, um abgereichertes Uran in angereichertes Uran umzuwandeln;;;利用形变液将贫铀转化为浓缩铀。;;
gui/hud/building_description/resource_converter_uranium_depleted;Uses morphium to convert ironium into depleted uranium;;;;Verwendet Morphium, um Ironium in abgereichertes Uran umzuwandeln;;;使用形变液将贫铀转化为浓缩铀。;;
gui/hud/building_description/rtg;A radioisotope thermoelectric generator is a nuclear energy source that convert radiation heat into electricity;;;;Ein radioisotopischer thermoelektrischer Generator ist eine Kernenergiequelle, die Strahlungswärme in Elektrizität umwandelt;;;放射性同位素热电发电机是一种将辐射热转化为电能的核能来源;;
gui/hud/building_description/rtg_lvl_2;A cooled radioisotope thermoelectric generator for improved yield;;;;Ein gekühlter radioisotopischer thermoelektrischer Generator für verbesserten Ertrag;;;冷却型放射性同位素热电发电机，产量提高;;
gui/hud/building_description/rtg_lvl_3;A cooled radioisotope thermoelectric generator for improved yield;;;;Ein gekühlter radioisotopischer thermoelektrischer Generator für verbesserten Ertrag;;;冷却型放射性同位素热电发电机，产量提高;;
gui/hud/building_description/solid_material_storage_basic;Storage building for all basic construction and ammunition production materials;;;;Lagergebäude für alle grundlegenden Bau- und Munitionsproduktionsmaterialien;;;存储所有基础建筑和弹药生产材料的仓库;;
gui/hud/building_description/solid_material_storage_other;Storage building for any other solid materials found and harvested on Galatea;;;;Lagergebäude für alle anderen festen Materialien, die auf Galatea gefunden und abgebaut werden;;;存储伽拉忒亚上发现和采集的任何其他固体材料的仓库;;
gui/hud/building_description/solid_material_storage_rare;Storage building for rare metals;;;;Lagergebäude für seltene Metalle;;;存储稀有金属的仓库;;
gui/hud/building_description/solid_material_storage_underground;Underground storage facility for all solid materials;;;;Unterirdische Lagerstätte für alle festen Materialien;;;用于所有固体材料的地下存储设施;;
gui/hud/building_description/solvent_condenser;Condenses hydro-fluorines into solvent liquid;;;;Kondensiert Hydrofluorine zu Lösungsmittel;;;将氢氟化合物冷凝为溶剂;;
gui/hud/building_description/solvent_refinery;produces solvent for resource processing;;;;Produziert Lösungsmittel für die Ressourcenverarbeitung;;;生产用于资源加工的溶剂;;
gui/hud/building_description/solvent_refinery_lvl_2;produces solvent for resource processing;;;;Produziert Lösungsmittel für die Ressourcenverarbeitung;;;生产用于资源加工的溶剂;;
gui/hud/building_description/solvent_refinery_lvl_3;produces solvent for resource processing;;;;Produziert Lösungsmittel für die Ressourcenverarbeitung;;;生产用于资源加工的溶剂;;
gui/hud/building_description/steel_seperator;Separates simple metals of out lava;;;;Gewinnt einfache Metalle aus Lava;;;从熔岩中分离简单金属;;
gui/hud/building_description/steel_seperator_lvl_2;Separates metals of out lava including trace amounts of titanium;;;;Gewinnt Metalle aus Lava, einschließlich Spuren von Titan;;;从熔岩中分离金属，包括微量钛;;
gui/hud/building_description/steel_seperator_lvl_3;Separates metals of out lava including low amounts of titanium;;;;Gewinnt Metalle aus Lava, einschließlich geringer Mengen an Titan;;;从熔岩中分离金属，包括少量钛;;
gui/hud/building_description/strip_mine;Mines resources from surface outcrops. Wastes 50% of resource deposit;;;;Gewinnt Ressourcen aus oberirdischen Aufschlüssen. Verschwendet 50 % der Ressourcenvorkommen;;;从地表露天开采资源。浪费50%的资源矿床;;
gui/hud/building_description/strip_mine_lvl_2;Mines resources from surface outcrops. REQUIRES: ore mill to operate. Wastes 25% of resource deposit;;;;Gewinnt Ressourcen aus oberirdischen Aufschlüssen. VORAUSSETZUNG: Eine Erzmühle ist für den Betrieb erforderlich. Verschwendet 25 % der Ressourcenvorkommen;;;从地表露天开采资源。需要矿石磨机才能运行。浪费25%的资源矿床;;
gui/hud/building_description/strip_mine_lvl_3;Mines resources from surface outcrops. REQUIRES: ore mill to operate. No wasted resources;;;;Gewinnt Ressourcen aus oberirdischen Aufschlüssen. VORAUSSETZUNG: Erzmühle für den Betrieb. Keine Ressourcenverschwendung;;;从地表露天开采资源。需要矿石磨机才能运行。无资源浪费;;
gui/hud/building_description/supercoolant_chem_plant;Produces coolant from gases;;;;Stellt Kühlmittel aus Gasen her;;;从气体中生产冷却剂;;
gui/hud/building_description/supercoolant_chem_plant_lvl_2;Production of coolants on ammonium hydrocarbon basis;;;;Herstellung von Kühlmitteln auf Ammonium-Kohlenwasserstoff-Basis;;;基于铵烃的冷却剂生产;;
gui/hud/building_description/supercoolant_chem_plant_lvl_3;Optimized production of coolants on ammonium hydrocarbon basis;;;;Optimierte Herstellung von Kühlmitteln auf Ammonium-Kohlenwasserstoff-Basis;;;基于铵烃的优化冷却剂生产;;
gui/hud/building_description/supercoolant_refinery_lvl_2;Refines super-coolant More productive due to water basis;;;;Raffiniert Superkühlmittel. Höhere Produktivität durch Wasserbasis;;;精炼超级冷却剂。基于水，生产效率更高;;
gui/hud/building_description/supercoolant_refinery_lvl_3;Refines super-coolant Most productive through titanium infusion;;;;Raffiniert Superkühlmittel. Höchste Produktivität durch Titanzusatz;;;精炼超级冷却剂。通过注入钛，生产效率最高;;
gui/hud/building_description/thermal_ion_charger;Uses extreme heat energy of magma to ionize air into supercharged plasma;;;;Nutzt die extreme Wärmeenergie des Magmas, um Luft in hochenergetisches Plasma zu ionisieren;;;利用岩浆的极端热能，将空气电离成超级带电等离子体;;
gui/hud/building_description/tower_artillery_acid;Artillery using piped resources to prepare rounds with acid payload;;;;Artillerie, die über Rohrleitungen zugeführte Ressourcen nutzt, um Geschosse mit Säurefüllung herzustellen;;;使用管道输送资源准备酸性弹药的炮塔;;
gui/hud/building_description/tower_artillery_napalm;Artillery using piped resources to prepare rounds with napalm payload;;;;Artillerie, die über Rohrleitungen zugeführte Ressourcen nutzt, um Geschosse mit Napalmfüllung herzustellen;;;使用管道输送资源准备凝固汽油弹的炮塔;;
gui/hud/building_description/tower_artillery_propelled;Artillery using extra propellant to increase firing rage;;;;Artillerie, die zusätzlichen Treibstoff nutzt, um die Schussreichweite zu erhöhen;;;使用额外推进剂增加射程的炮塔;;
gui/hud/building_description/tower_artillery_superpropelled;Artillery using extra reagent propellant to maximize firing rage;;;;Artillerie, die zusätzlichen Reagenz-Treibstoff nutzt, um die Schussreichweite zu maximieren;;;使用额外试剂推进剂最大化射程的炮塔;;
gui/hud/building_description/tower_cannon;Fires high caliber rounds dealing significant damage per shot;;;;Feuert großkalibrige Geschosse ab, die pro Schuss erheblichen Schaden verursachen;;;发射大口径炮弹，每发造成可观伤害;;
gui/hud/building_description/tower_cannon_acid;Fires high caliber rounds dealing significant damage per shot using piped resources to prepare acid coated rounds deal damage over time;;;;"Feuert großkalibrige Geschosse ab, die pro Schuss erheblichen Schaden verursachen; nutzt über Rohrleitungen zugeführte Ressourcen, um säurebeschichtete Geschosse herzustellen, die Schaden über Zeit verursachen";;;发射大口径炮弹，每发造成可观伤害，使用管道输送资源准备酸性涂层炮弹，造成持续伤害;;
gui/hud/building_description/tower_cannon_cooled;Fires high caliber rounds dealing significant damage per shot cooled by piped coolant to increase rate of fire;;;;Feuert großkalibrige Geschosse ab, die pro Schuss erheblichen Schaden verursachen, gekühlt durch geleitetes Kühlmittel, um die Feuerrate zu erhöhen;;;发射大口径炮弹，每发造成可观伤害，通过管道冷却剂冷却以提高射速;;
gui/hud/building_description/tower_cannon_cryo;Fires high caliber rounds dealing significant damage per shot using piped resources to prepare cryo infused rounds that slow targets;;;;Feuert großkalibrige Geschosse ab, die pro Schuss erheblichen Schaden verursachen, unter Verwendung von Ressourcen aus der Leitung zur Herstellung von kryogen behandelten Geschossen, die Ziele verlangsamen;;;发射大口径炮弹，每发造成可观伤害，使用管道输送资源准备冷冻注入炮弹，减速目标;;
gui/hud/building_description/tower_cannon_incindiary;Fires high caliber rounds dealing significant damage per shot using piped resources to prepare plasma charged rounds deal fire damage;;;;Feuert großkalibrige Geschosse ab, die pro Schuss erheblichen Schaden verursachen, unter Verwendung von Ressourcen aus der Leitung zur Herstellung von plasmagefüllten Geschossen, die Feuerschaden verursachen;;;发射大口径炮弹，每发造成可观伤害，使用管道输送资源准备等离子充能炮弹，造成火焰伤害;;
gui/hud/building_description/tower_cannon_small;Fires 20mm caliber rounds dealing low damage per shot using at a decent rate of fire;;;;Feuert 20-mm-Geschosse ab, die pro Schuss geringen Schaden verursachen, mit einer ordentlichen Feuerrate;;;发射20毫米口径炮弹，每发伤害较低，射速尚可;;
gui/hud/building_description/tower_cryo_spitter;This defensive tower covers the ground with super cooled cyro-fluid. It will freeze organic matter that comes in contact;;;;Dieser Verteidigungsturm bedeckt den Boden mit tiefgekühlter Kryoflüssigkeit. Er friert organisches Material ein, das damit in Kontakt kommt;;;这座防御塔会在地面覆盖超低温冷冻液，接触到的有机物质将被冻结。;;
gui/hud/building_description/tower_drone_attack_lvl2_explosive;Spawns defensive drones which hoover in the tower's operational radius and attack rocket propelled explosives;;;;Erzeugt Verteidigungsdrohnen, die im Wirkungsradius des Turms schweben und mit raketenbetriebenen Sprengstoffen angreifen;;;生成防御无人机，在炮塔作战半径内悬浮，使用火箭推进炸药攻击;;
gui/hud/building_description/tower_drone_attack_lvl2_fire;Spawns defensive drones which hoover in the tower's operational radius and attack with incendiary ammunition;;;;Erzeugt Verteidigungsdrohnen, die im Wirkungsradius des Turms schweben und mit Brandmunition angreifen;;;生成防御无人机，在炮塔作战半径内悬浮，使用燃烧弹药攻击;;
gui/hud/building_description/tower_drone_attack_lvl3;Spawns defensive drones which hoover in the tower's operational radius and attack with corrosive ammunition;;;;Erzeugt Verteidigungsdrohnen, die im Wirkungsradius des Turms schweben und mit ätzender Munition angreifen;;;生成防御无人机，在炮塔作战半径内悬浮，使用腐蚀弹药攻击;;
gui/hud/building_description/tower_drone_attack_lvl3_cryo;Spawns defensive drones which hoover in the tower's operational radius and attack with cryogenic high caliber ammunition.;;;;Entsendet Verteidigungsdrohnen, die im Wirkungsradius des Turms schweben und mit kryogener Großkalibermunition angreifen.;;;生成防御无人机，在炮塔作战半径内悬浮，使用低温大口径弹药攻击;;
